name,flavor,kind,trait,price,adelhyde,bronson_extract,powdered_delta,flanergide,karmotrine,add_ice,age,wait
BAD_TOUCH,Sour,Classy,Vintage,250,0,2,2,2,4,Y,N,N
BEER,Bubbly,Classic,Vintage,200,1,2,1,2,4,N,N,N
BLEEDING_JANE,Spicy,Classic,Sobering,200,0,1,3,3,0,N,N,Y
BLOOM_LIGHT,Spicy,Promo,Bland,230,4,0,1,2,3,Y,Y,N
BLUE_FAIRY,Sweet,Girly,Soft,170,4,0,0,1,-1,N,Y,N
BRANDTINI,Sweet,Classy,Happy,250,6,0,3,0,1,N,Y,N
COBALT_VELVET,Bubbly,Classy,Burning,280,2,0,0,3,5,Y,N,N
CREVICE_SPIKE,Sour,Manly,Sobering,140,0,0,2,4,-1,N,N,Y
FLAMING_MOAI,Sour,Classic,Classy,150,1,1,2,3,5,N,N,N
FLUFFY_DREAM,Sour,Girly,Soft,170,3,0,3,0,-1,N,Y,N
FRINGE_WEAVER,Bubbly,Classy,Strong,260,1,0,0,0,9,N,Y,N
FROTHY_WATER,Bubbly,Classic,Bland,150,1,1,1,1,0,N,Y,N
GRIZZLY_TEMPLE,Bitter,Promo,Bland,220,3,3,3,0,1,N,N,Y
GUT_PUNCH,Bitter,Manly,Strong,80,0,5,0,1,-1,N,Y,N
MARSBLAST,Spicy,Manly,Strong,170,0,6,1,4,2,N,N,Y
MERCURYBLAST,Sour,Classy,Burning,250,1,1,3,3,2,Y,N,Y
MOONBLAST,Sweet,Girly,Happy,180,6,0,1,1,2,Y,N,Y
PIANO_MAN,Sour,Promo,Strong,320,2,3,5,5,3,Y,N,N
PIANO_WOMAN,Sweet,Promo,Happy,320,5,5,2,3,3,N,Y,N
PILEDRIVER,Bitter,Manly,Burning,160,0,3,0,3,4,N,N,N
SPARKLE_STAR,Sweet,Girly,Happy,150,2,0,1,0,-1,N,Y,N
SUGAR_RUSH,Sweet,Girly,Happy,150,2,0,1,0,-1,N,N,N
SUNSHINE_CLOUD,Bitter,Girly,Soft,150,2,2,0,0,-1,Y,N,Y
SUPLEX,Bitter,Manly,Burning,160,0,4,0,3,3,Y,N,N
ZEN_STAR,Sour,Promo,Bland,210,4,4,4,4,4,Y,N,N
